variables,values
p_a,0.45312590528131075
p_IH,0.06808569360496046
p_IU,0.01600279010215338
p_HD,0.16014764330920533
p_HU,0.15058095875059765
p_UD,0.3566533721227946
R_0,3.3256369076787395
mu,0.010581977354249096
lambda_1,0.0001
t_0,21.0
N,31.346015482384516
N_I,8.0
N_H,16.0
N_U,12.0
I_moins_0,2.4168320883392718
