variables,values
p_a,0.5938335877089765
p_IH,0.12929558649963793
p_IU,0.028820677640637393
p_HD,0.19006778913685501
p_HU,0.17143574680462187
p_UD,0.28835952384667574
R_0,3.3641637639132407
mu,0.016847333499993778
lambda_1,0.0001
t_0,6.0
N,31.0
N_I,9.0
N_H,17.0
N_U,14.0
I_moins_0,9.383197838535386
