variables,values
p_a,0.5589770929995195
p_IH,0.12182433861007122
p_IU,0.02988019457742252
p_HD,0.19458471396468346
p_HU,0.1451386850305137
p_UD,0.3639718815261369
R_0,3.2072400095341975
mu,0.016586514905211003
lambda_1,0.0001
t_0,17.0
N,50.0
N_I,9.0
N_H,15.0
N_U,10.0
I_moins_0,2.0775837651382463
